"","TP","Site","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"59","Dec_2022","CE","Pocilloporidae",4.6,4,8,3.27850139981233,1.15912528596844
"60","Dec_2022","CE","Porites",0,0,8,0,0
"61","Dec_2022","EB","Acanthastrea",0.23287037037037,0,24,0.812902390826837,0.165933005684522
"62","Dec_2022","EB","Branching Acropora",4.60787037037037,0,24,12.2922881790158,2.50915281748617
"63","Dec_2022","EB","Encrusting Montipora",10.9425925925926,11.15,24,9.27269620834561,1.89278118752392
"64","Dec_2022","EB","Goniopora",0.572222222222222,0,24,2.04059446360499,0.41653460064838
"65","Dec_2022","EB","Other hard coral",1.79351851851852,0.25,24,3.48218056673886,0.710797131728813
"66","Dec_2022","EB","Plating Acropora",9.40555555555556,2.3,24,14.1332740861031,2.88494249215441
"67","Dec_2022","EB","Plating Montipora",7.07824074074074,4.6,24,8.29941469404514,1.6941109303473
"68","Dec_2022","EB","Platygyra",0.59212962962963,0.15,24,0.784371492595728,0.160109160470397
"69","Dec_2022","EB","Pocilloporidae",0.510185185185185,0,24,1.06408663752516,0.217205775337543
"70","Dec_2022","EB","Porites",0.6375,0.35,24,0.802069334528695,0.163721717327414
"71","Dec_2022","SB","Acanthastrea",0.258333333333333,0,24,0.713178230462622,0.145576896691204
"72","Dec_2022","SB","Branching Acropora",1.12916666666667,0,24,3.74496521916474,0.764437824285316
"73","Dec_2022","SB","Encrusting Montipora",6.76666666666667,3.2,24,9.63935171312238,1.96762442903106
"74","Dec_2022","SB","Goniopora",0.183333333333333,0.1,24,0.283865655099252,0.0579438342078371
"75","Dec_2022","SB","Other hard coral",0.195833333333333,0,24,0.413341806832266,0.0843730430082585
"76","Dec_2022","SB","Plating Acropora",6.25,0.4,24,13.8599830604075,2.82915719513473
"77","Dec_2022","SB","Plating Montipora",3.6375,1,24,5.13536862061189,1.04825273013328
"78","Dec_2022","SB","Platygyra",0.625,0.2,24,0.817339267538805,0.166838679350851
"79","Dec_2022","SB","Pocilloporidae",3.15416666666667,0.85,24,4.81329491835006,0.982509710957405
"80","Dec_2022","SB","Porites",0.8,0.5,24,1.07460811866264,0.219353463681305
"81","March_2020","EB","Acanthastrea",2.12857142857143,1,7,3.26584051749535,1.23437169012731
"82","March_2020","EB","Branching Acropora",2.01428571428571,1.6,7,2.93565925101931,1.10957490174618
"83","March_2020","EB","Encrusting Montipora",6.32857142857143,3.9,7,6.84780117646394,2.58822556293416
"84","March_2020","EB","Goniopora",0.142857142857143,0,7,0.335942171894424,0.126974205961651
"85","March_2020","EB","Other hard coral",2.64285714285714,2.1,7,3.20668943660859,1.21201468301202
"86","March_2020","EB","Plating Acropora",8.12857142857143,4.7,7,10.9277497356827,4.13030117002405
"87","March_2020","EB","Plating Montipora",1.91428571428571,0,7,3.40412914533148,1.28663987847056
"88","March_2020","EB","Platygyra",1.35714285714286,1.2,7,1.20672717554155,0.456100000969474
"89","March_2020","EB","Pocilloporidae",0.571428571428571,0,7,1.09043460099523,0.412145539316188
"90","March_2020","EB","Porites",0.814285714285714,0.1,7,1.31330190922038,0.496381464020494
"91","March_2020","SB","Acanthastrea",1.68571428571429,0,7,2.14353957387353,0.810181805413531
"92","March_2020","SB","Branching Acropora",0.914285714285714,0.3,7,1.41353996692532,0.534267888676409
